images,z,x
03_10_2020_1\output_0004\0000778_z04_x06.jpg,4,6
03_10_2020_1\output_0003\0000965_z01_x06.jpg,1,6
03_16_2020_0\output_0001\0000963_z08_x07.jpg,8,7
03_13_2020_1\output_0012\0000247_z02_x06.jpg,2,6
03_06_2020_0\output_0010\0000072_z10_x06.jpg,10,6
03_12_2020_0\output_0013\0001122_z09_x07.jpg,9,7
03_13_2020_1\output_0007\0000892_z02_x06.jpg,2,6
03_16_2020_0\output_0005\0000560_z07_x07.jpg,7,7
03_09_2020_1\output_0026\0000600_z02_x07.jpg,2,7
03_09_2020_1\output_0014\0000331_z04_x06.jpg,4,6
03_16_2020_0\output_0004\0000740_z08_x07.jpg,8,7
03_16_2020_0\output_0006\0000169_z06_x07.jpg,6,7
03_10_2020_1\output_0007\0000240_z01_x06.jpg,1,6
03_12_2020_0\output_0014\0000393_z06_x07.jpg,6,7
03_13_2020_1\output_0009\0000175_z03_x06.jpg,3,6
03_10_2020_1\output_0011\0001057_z00_x06.jpg,0,6
03_10_2020_1\output_0011\0000769_z05_x06.jpg,5,6
03_12_2020_0\output_0013\0000375_z06_x07.jpg,6,7
03_09_2020_1\output_0037\0000503_z00_x06.jpg,0,6
03_09_2020_1\output_0016\0000302_z01_x07.jpg,1,7
03_06_2020_0\output_0006\0001236_z02_x06.jpg,2,6
03_12_2020_0\output_0004\0000711_z08_x07.jpg,8,7
03_06_2020_0\output_0005\0000727_z07_x06.jpg,7,6
03_12_2020_0\output_0003\0001036_z07_x07.jpg,7,7
03_09_2020_1\output_0032\0000478_z04_x07.jpg,4,7
03_10_2020_1\output_0015\0000984_z02_x07.jpg,2,7
03_06_2020_0\output_0011\0000110_z00_x07.jpg,0,7
03_06_2020_0\output_0011\0000561_z05_x07.jpg,5,7
03_09_2020_1\output_0022\0000285_z04_x07.jpg,4,7
03_13_2020_1\output_0010\0000558_z02_x07.jpg,2,7
03_10_2020_1\output_0011\0000780_z05_x06.jpg,5,6
03_13_2020_0\output_0004\0000125_z07_x06.jpg,7,6
03_10_2020_1\output_0007\0000027_z03_x07.jpg,3,7
03_06_2020_0\output_0002\0000879_z10_x06.jpg,10,6
03_09_2020_1\output_0015\0000323_z00_x07.jpg,0,7
03_12_2020_0\output_0005\0000746_z05_x07.jpg,5,7
03_16_2020_0\output_0003\0000174_z07_x06.jpg,7,6
03_13_2020_0\output_0005\0000459_z07_x07.jpg,7,7
03_12_2020_0\output_0010\0000991_z08_x07.jpg,8,7
03_13_2020_1\output_0011\0000270_z05_x06.jpg,5,6
03_16_2020_0\output_0005\0000194_z05_x07.jpg,5,7
03_10_2020_1\output_0012\0000745_z03_x06.jpg,3,6
03_16_2020_0\output_0002\0000326_z08_x07.jpg,8,7
03_10_2020_1\output_0006\0000034_z04_x06.jpg,4,6
03_06_2020_0\output_0009\0000198_z02_x07.jpg,2,7
03_16_2020_0\output_0006\0000870_z07_x07.jpg,7,7
03_06_2020_0\output_0002\0000884_z10_x06.jpg,10,6
03_06_2020_0\output_0005\0001071_z07_x07.jpg,7,7
03_06_2020_0\output_0002\0000677_z10_x06.jpg,10,6
03_10_2020_1\output_0009\0000311_z03_x06.jpg,3,6
03_06_2020_0\output_0005\0000390_z07_x06.jpg,7,6
03_13_2020_1\output_0005\0000611_z05_x07.jpg,5,7
03_09_2020_1\output_0036\0000430_z04_x06.jpg,4,6
03_09_2020_1\output_0039\0000644_z00_x08.jpg,0,8
03_09_2020_1\output_0020\0000159_z05_x07.jpg,5,7
03_13_2020_1\output_0012\0000280_z03_x06.jpg,3,6
03_16_2020_0\output_0006\0000111_z06_x07.jpg,6,7
03_13_2020_1\output_0003\0000458_z05_x06.jpg,5,6
03_13_2020_0\output_0005\0000311_z06_x06.jpg,6,6
03_12_2020_0\output_0007\0000538_z05_x07.jpg,5,7
03_06_2020_0\output_0010\0000012_z05_x06.jpg,5,6
03_10_2020_1\output_0000\0000388_z02_x06.jpg,2,6
03_13_2020_1\output_0008\0000322_z05_x06.jpg,5,6
JetBot\2021-10-08-20-32\0000844_z00_x06.jpg,0,6
03_09_2020_1\output_0024\0000319_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0001563_z04_x10.jpg,4,10
03_12_2020_0\output_0002\0000121_z07_x06.jpg,7,6
03_09_2020_1\output_0029\0000466_z05_x06.jpg,5,6
03_10_2020_1\output_0008\0000920_z05_x06.jpg,5,6
JetBot\2021-10-08-20-32\0002818_z05_x08.jpg,5,8
03_09_2020_1\output_0033\0000611_z02_x06.jpg,2,6
03_10_2020_1\output_0005\0000636_z04_x06.jpg,4,6
03_09_2020_1\output_0033\0000554_z03_x06.jpg,3,6
03_09_2020_1\output_0021\0000212_z05_x06.jpg,5,6
03_12_2020_0\output_0014\0000777_z09_x07.jpg,9,7
03_13_2020_0\output_0004\0000677_z05_x07.jpg,5,7
03_13_2020_0\output_0005\0000973_z05_x07.jpg,5,7
03_10_2020_1\output_0009\0000332_z00_x06.jpg,0,6
03_09_2020_1\output_0017\0000363_z05_x08.jpg,5,8
03_16_2020_0\output_0000\0000398_z05_x06.jpg,5,6
03_12_2020_0\output_0015\0000362_z08_x07.jpg,8,7
03_10_2020_1\output_0010\0000435_z02_x06.jpg,2,6
03_09_2020_1\output_0023\0000110_z02_x07.jpg,2,7
03_06_2020_0\output_0002\0000349_z10_x07.jpg,10,7
03_09_2020_1\output_0039\0000318_z01_x06.jpg,1,6
03_09_2020_1\output_0016\0000402_z05_x07.jpg,5,7
03_13_2020_1\output_0001\0000054_z02_x06.jpg,2,6
03_16_2020_0\output_0004\0000745_z07_x07.jpg,7,7
03_09_2020_1\output_0037\0000801_z02_x07.jpg,2,7
JetBot\2021-10-08-20-32\0001090_z05_x07.jpg,5,7
03_09_2020_1\output_0038\0000441_z02_x07.jpg,2,7
03_13_2020_0\output_0001\0000577_z06_x07.jpg,6,7
03_12_2020_0\output_0005\0000168_z05_x07.jpg,5,7
03_13_2020_1\output_0001\0000432_z03_x06.jpg,3,6
03_12_2020_0\output_0002\0000976_z06_x07.jpg,6,7
03_13_2020_0\output_0002\0000691_z06_x06.jpg,6,6
03_09_2020_1\output_0042\0000086_z05_x07.jpg,5,7
03_09_2020_1\output_0025\0000559_z04_x07.jpg,4,7
03_06_2020_0\output_0005\0000847_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0001047_z03_x07.jpg,3,7
03_12_2020_0\output_0012\0000147_z05_x07.jpg,5,7
03_13_2020_1\output_0001\0000709_z03_x06.jpg,3,6
03_12_2020_0\output_0004\0000561_z06_x07.jpg,6,7
03_10_2020_1\output_0014\0000919_z02_x06.jpg,2,6
03_06_2020_0\output_0006\0000269_z01_x06.jpg,1,6
03_09_2020_1\output_0014\0000342_z00_x07.jpg,0,7
03_06_2020_0\output_0003\0000235_z05_x07.jpg,5,7
03_10_2020_1\output_0012\0000514_z03_x06.jpg,3,6
03_10_2020_1\output_0015\0000489_z02_x06.jpg,2,6
03_13_2020_1\output_0003\0000248_z03_x06.jpg,3,6
03_10_2020_1\output_0011\0001060_z05_x06.jpg,5,6
03_09_2020_1\output_0016\0000149_z05_x07.jpg,5,7
03_13_2020_1\output_0005\0000489_z05_x07.jpg,5,7
03_09_2020_1\output_0032\0000477_z01_x07.jpg,1,7
03_13_2020_0\output_0005\0000271_z07_x07.jpg,7,7
03_09_2020_1\output_0026\0000327_z00_x07.jpg,0,7
03_09_2020_1\output_0030\0000918_z03_x07.jpg,3,7
03_06_2020_0\output_0006\0000032_z00_x06.jpg,0,6
03_12_2020_0\output_0002\0000079_z05_x07.jpg,5,7
03_10_2020_1\output_0014\0000506_z05_x06.jpg,5,6
03_13_2020_0\output_0006\0000746_z06_x07.jpg,6,7
03_12_2020_0\output_0015\0000123_z05_x07.jpg,5,7
03_10_2020_1\output_0006\0000390_z05_x06.jpg,5,6
03_13_2020_0\output_0004\0000812_z06_x07.jpg,6,7
03_09_2020_1\output_0033\0000227_z03_x06.jpg,3,6
03_13_2020_0\output_0006\0000706_z08_x07.jpg,8,7
03_12_2020_0\output_0007\0000662_z07_x07.jpg,7,7
03_12_2020_0\output_0008\0000255_z05_x06.jpg,5,6
03_13_2020_1\output_0009\0000180_z04_x06.jpg,4,6
03_12_2020_0\output_0009\0000285_z07_x07.jpg,7,7
JetBot\2021-10-08-20-32\0000204_z08_x07.jpg,8,7
03_06_2020_0\output_0004\0000192_z02_x07.jpg,2,7
03_12_2020_0\output_0000\0000758_z08_x07.jpg,8,7
03_12_2020_0\output_0001\0000638_z10_x06.jpg,10,6
03_16_2020_0\output_0004\0000776_z07_x07.jpg,7,7
03_13_2020_0\output_0000\0000179_z08_x06.jpg,8,6
03_12_2020_0\output_0010\0000580_z06_x07.jpg,6,7
03_10_2020_1\output_0015\0000330_z04_x06.jpg,4,6
03_06_2020_0\output_0010\0001245_z10_x07.jpg,10,7
03_09_2020_1\output_0034\0000374_z03_x06.jpg,3,6
03_12_2020_0\output_0009\0000197_z09_x06.jpg,9,6
03_12_2020_0\output_0007\0000706_z08_x07.jpg,8,7
03_13_2020_1\output_0000\0000386_z02_x07.jpg,2,7
03_09_2020_1\output_0036\0000306_z02_x06.jpg,2,6
03_12_2020_0\output_0001\0001084_z07_x06.jpg,7,6
03_10_2020_1\output_0003\0000127_z02_x06.jpg,2,6
03_06_2020_0\output_0002\0000436_z10_x07.jpg,10,7
03_10_2020_1\output_0008\0000469_z03_x06.jpg,3,6
03_06_2020_0\output_0011\0001235_z03_x08.jpg,3,8
03_10_2020_1\output_0013\0000768_z04_x06.jpg,4,6
03_12_2020_0\output_0002\0000868_z05_x07.jpg,5,7
03_10_2020_1\output_0003\0000510_z05_x06.jpg,5,6
03_12_2020_0\output_0003\0000429_z08_x07.jpg,8,7
03_09_2020_1\output_0035\0000461_z05_x07.jpg,5,7
03_12_2020_0\output_0008\0000043_z07_x07.jpg,7,7
03_09_2020_1\output_0016\0000628_z05_x06.jpg,5,6
03_13_2020_1\output_0006\0000139_z05_x06.jpg,5,6
03_13_2020_1\output_0005\0000241_z04_x07.jpg,4,7
03_12_2020_0\output_0004\0000998_z07_x06.jpg,7,6
03_10_2020_1\output_0006\0000551_z02_x06.jpg,2,6
03_16_2020_0\output_0005\0000125_z05_x07.jpg,5,7
03_16_2020_0\output_0005\0000060_z08_x07.jpg,8,7
03_09_2020_1\output_0043\0000755_z02_x07.jpg,2,7
03_10_2020_1\output_0015\0000527_z02_x06.jpg,2,6
03_16_2020_0\output_0003\0000189_z07_x07.jpg,7,7
03_10_2020_1\output_0004\0000312_z03_x06.jpg,3,6
03_06_2020_0\output_0011\0000964_z00_x07.jpg,0,7
03_10_2020_1\output_0004\0000405_z02_x06.jpg,2,6
03_12_2020_0\output_0012\0000931_z06_x07.jpg,6,7
03_06_2020_0\output_0010\0000238_z05_x06.jpg,5,6
03_10_2020_1\output_0003\0000742_z05_x06.jpg,5,6
03_10_2020_1\output_0004\0000244_z02_x06.jpg,2,6
03_13_2020_0\output_0001\0000520_z07_x07.jpg,7,7
03_09_2020_1\output_0031\0000750_z03_x07.jpg,3,7
03_10_2020_1\output_0007\0000190_z01_x06.jpg,1,6
03_06_2020_0\output_0005\0001023_z06_x07.jpg,6,7
03_10_2020_1\output_0000\0000250_z03_x06.jpg,3,6
03_10_2020_1\output_0000\0000149_z05_x06.jpg,5,6
03_06_2020_0\output_0002\0000576_z10_x06.jpg,10,6
03_12_2020_0\output_0010\0000263_z07_x07.jpg,7,7
03_09_2020_1\output_0025\0000168_z05_x07.jpg,5,7
03_16_2020_0\output_0006\0000277_z07_x06.jpg,7,6
03_09_2020_1\output_0024\0000557_z03_x07.jpg,3,7
03_10_2020_1\output_0013\0000613_z03_x06.jpg,3,6
03_09_2020_1\output_0037\0000217_z00_x07.jpg,0,7
03_12_2020_0\output_0002\0000487_z09_x07.jpg,9,7
03_13_2020_1\output_0003\0000119_z04_x07.jpg,4,7
03_09_2020_1\output_0030\0000861_z02_x07.jpg,2,7
03_09_2020_1\output_0042\0000231_z04_x06.jpg,4,6
03_12_2020_0\output_0015\0000468_z07_x07.jpg,7,7
03_10_2020_1\output_0011\0000190_z02_x06.jpg,2,6
03_12_2020_0\output_0015\0000629_z07_x07.jpg,7,7
03_09_2020_1\output_0018\0000516_z05_x06.jpg,5,6
03_13_2020_1\output_0004\0000822_z02_x07.jpg,2,7
03_16_2020_0\output_0003\0000762_z05_x07.jpg,5,7
03_13_2020_0\output_0007\0000377_z08_x07.jpg,8,7
03_10_2020_1\output_0011\0000034_z00_x06.jpg,0,6
03_09_2020_1\output_0013\0000544_z02_x07.jpg,2,7
03_12_2020_0\output_0000\0000512_z08_x07.jpg,8,7
03_16_2020_0\output_0001\0000684_z05_x07.jpg,5,7
03_10_2020_1\output_0011\0000525_z01_x06.jpg,1,6
03_12_2020_0\output_0012\0000974_z08_x07.jpg,8,7
03_13_2020_0\output_0003\0000711_z07_x07.jpg,7,7
03_06_2020_0\output_0003\0001529_z08_x07.jpg,8,7
03_13_2020_1\output_0010\0000405_z02_x06.jpg,2,6
03_06_2020_0\output_0002\0000920_z07_x07.jpg,7,7
03_06_2020_0\output_0010\0000334_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0001380_z00_x08.jpg,0,8
03_13_2020_1\output_0008\0000419_z02_x07.jpg,2,7
03_09_2020_1\output_0044\0000024_z03_x06.jpg,3,6
03_12_2020_0\output_0009\0000856_z07_x07.jpg,7,7
03_13_2020_1\output_0000\0000826_z05_x06.jpg,5,6
03_09_2020_1\output_0043\0000025_z01_x06.jpg,1,6
03_16_2020_0\output_0003\0000584_z07_x07.jpg,7,7
03_09_2020_1\output_0037\0000334_z03_x07.jpg,3,7
03_12_2020_0\output_0014\0000733_z05_x07.jpg,5,7
03_10_2020_1\output_0003\0000205_z03_x06.jpg,3,6
03_10_2020_1\output_0015\0000428_z05_x06.jpg,5,6
03_13_2020_0\output_0000\0000462_z07_x07.jpg,7,7
03_06_2020_0\output_0002\0000609_z09_x07.jpg,9,7
03_09_2020_1\output_0032\0000364_z02_x07.jpg,2,7
03_12_2020_0\output_0015\0000729_z07_x07.jpg,7,7
03_13_2020_0\output_0006\0000401_z07_x07.jpg,7,7
03_06_2020_0\output_0010\0001311_z09_x07.jpg,9,7
03_09_2020_1\output_0018\0000664_z01_x06.jpg,1,6
03_12_2020_0\output_0002\0000192_z08_x07.jpg,8,7
03_12_2020_0\output_0014\0000687_z06_x07.jpg,6,7
03_06_2020_0\output_0006\0001493_z01_x06.jpg,1,6
03_09_2020_1\output_0033\0000730_z03_x06.jpg,3,6
03_09_2020_1\output_0037\0000831_z00_x07.jpg,0,7
03_13_2020_0\output_0006\0000599_z06_x07.jpg,6,7
03_16_2020_0\output_0000\0000082_z06_x06.jpg,6,6
03_09_2020_1\output_0029\0000047_z00_x08.jpg,0,8
03_09_2020_1\output_0017\0000281_z01_x07.jpg,1,7
03_12_2020_0\output_0005\0000767_z07_x07.jpg,7,7
03_13_2020_1\output_0006\0000143_z04_x06.jpg,4,6
03_13_2020_0\output_0007\0000058_z08_x07.jpg,8,7
03_12_2020_0\output_0003\0001118_z06_x07.jpg,6,7
03_13_2020_1\output_0010\0000871_z02_x07.jpg,2,7
03_09_2020_1\output_0022\0000599_z05_x06.jpg,5,6
JetBot\2021-10-08-20-32\0000344_z05_x10.jpg,5,10
03_13_2020_1\output_0004\0000891_z01_x07.jpg,1,7
03_16_2020_0\output_0000\0000462_z07_x06.jpg,7,6
03_12_2020_0\output_0012\0000815_z08_x07.jpg,8,7
03_10_2020_1\output_0009\0000225_z01_x06.jpg,1,6
03_09_2020_1\output_0033\0000351_z01_x06.jpg,1,6
03_16_2020_0\output_0006\0000562_z09_x06.jpg,9,6
03_13_2020_1\output_0013\0000893_z02_x06.jpg,2,6
03_12_2020_0\output_0012\0000325_z05_x07.jpg,5,7
03_09_2020_1\output_0030\0000413_z02_x07.jpg,2,7
03_13_2020_1\output_0006\0000648_z02_x06.jpg,2,6
03_06_2020_0\output_0009\0000747_z00_x06.jpg,0,6
03_09_2020_1\output_0032\0000806_z03_x07.jpg,3,7
03_10_2020_1\output_0009\0000769_z05_x06.jpg,5,6
03_12_2020_0\output_0012\0000883_z09_x07.jpg,9,7
03_09_2020_1\output_0035\0000370_z05_x07.jpg,5,7
03_12_2020_0\output_0015\0000725_z06_x07.jpg,6,7
03_09_2020_1\output_0034\0000243_z05_x06.jpg,5,6
03_16_2020_0\output_0006\0000791_z06_x07.jpg,6,7
03_10_2020_1\output_0011\0000543_z01_x06.jpg,1,6
03_13_2020_0\output_0002\0000346_z09_x06.jpg,9,6
03_10_2020_1\output_0003\0000676_z03_x06.jpg,3,6
03_16_2020_0\output_0002\0000689_z05_x07.jpg,5,7
03_06_2020_0\output_0010\0000380_z05_x07.jpg,5,7
03_10_2020_1\output_0012\0000273_z05_x06.jpg,5,6
03_10_2020_1\output_0007\0000316_z02_x06.jpg,2,6
03_09_2020_1\output_0039\0000052_z04_x06.jpg,4,6
03_10_2020_1\output_0009\0000214_z05_x06.jpg,5,6
03_09_2020_1\output_0015\0000624_z00_x07.jpg,0,7
03_09_2020_1\output_0023\0000587_z05_x07.jpg,5,7
03_12_2020_0\output_0010\0000209_z06_x07.jpg,6,7
03_09_2020_1\output_0026\0000468_z02_x07.jpg,2,7
03_12_2020_0\output_0009\0000394_z08_x06.jpg,8,6
03_06_2020_0\output_0008\0000175_z02_x07.jpg,2,7
03_09_2020_1\output_0016\0000169_z00_x07.jpg,0,7
03_13_2020_0\output_0000\0000693_z05_x07.jpg,5,7
03_12_2020_0\output_0005\0000851_z08_x07.jpg,8,7
03_10_2020_1\output_0004\0000743_z02_x06.jpg,2,6
03_06_2020_0\output_0002\0000791_z10_x06.jpg,10,6
JetBot\2021-10-08-20-32\0001613_z05_x06.jpg,5,6
03_13_2020_1\output_0003\0000736_z02_x06.jpg,2,6
03_16_2020_0\output_0003\0000182_z08_x07.jpg,8,7
03_06_2020_0\output_0009\0000601_z02_x07.jpg,2,7
03_13_2020_1\output_0003\0000924_z00_x06.jpg,0,6
03_06_2020_0\output_0003\0000580_z05_x07.jpg,5,7
03_10_2020_1\output_0001\0000323_z03_x06.jpg,3,6
03_16_2020_0\output_0005\0000320_z05_x07.jpg,5,7
03_06_2020_0\output_0006\0000605_z05_x06.jpg,5,6
03_09_2020_1\output_0020\0000580_z01_x07.jpg,1,7
03_09_2020_1\output_0016\0000238_z05_x07.jpg,5,7
03_09_2020_1\output_0016\0000139_z05_x06.jpg,5,6
03_13_2020_0\output_0000\0000854_z05_x06.jpg,5,6
03_10_2020_1\output_0011\0000386_z03_x06.jpg,3,6
03_10_2020_1\output_0015\0000470_z05_x06.jpg,5,6
03_09_2020_1\output_0037\0000057_z05_x06.jpg,5,6
03_12_2020_0\output_0006\0000910_z06_x07.jpg,6,7
03_12_2020_0\output_0014\0000061_z08_x06.jpg,8,6
03_13_2020_1\output_0010\0000525_z03_x07.jpg,3,7
03_12_2020_0\output_0009\0001053_z05_x06.jpg,5,6
03_12_2020_0\output_0008\0000564_z05_x07.jpg,5,7
03_13_2020_0\output_0005\0000589_z06_x07.jpg,6,7
03_13_2020_1\output_0011\0000519_z04_x06.jpg,4,6
03_10_2020_1\output_0005\0000014_z04_x06.jpg,4,6
JetBot\2021-10-08-20-32\0001570_z04_x07.jpg,4,7
03_13_2020_1\output_0002\0000838_z05_x07.jpg,5,7
03_13_2020_1\output_0010\0000835_z05_x07.jpg,5,7
03_12_2020_0\output_0005\0000730_z07_x07.jpg,7,7
03_12_2020_0\output_0007\0000716_z08_x07.jpg,8,7
03_09_2020_1\output_0013\0000234_z04_x06.jpg,4,6
03_10_2020_1\output_0008\0000216_z01_x06.jpg,1,6
03_09_2020_1\output_0037\0000370_z04_x06.jpg,4,6
03_12_2020_0\output_0005\0000750_z08_x07.jpg,8,7
JetBot\2021-10-08-20-32\0001812_z03_x07.jpg,3,7
03_06_2020_0\output_0005\0001346_z07_x07.jpg,7,7
03_09_2020_1\output_0024\0000661_z02_x07.jpg,2,7
03_13_2020_1\output_0007\0000530_z03_x07.jpg,3,7
03_12_2020_0\output_0010\0000681_z07_x07.jpg,7,7
03_10_2020_1\output_0005\0000771_z01_x06.jpg,1,6
03_09_2020_1\output_0040\0000277_z00_x07.jpg,0,7
03_10_2020_1\output_0000\0000720_z02_x06.jpg,2,6
03_13_2020_1\output_0006\0000443_z05_x06.jpg,5,6
03_09_2020_1\output_0043\0000266_z04_x06.jpg,4,6
03_06_2020_0\output_0002\0000769_z05_x06.jpg,5,6
03_16_2020_0\output_0000\0000547_z06_x06.jpg,6,6
03_10_2020_1\output_0013\0000550_z04_x06.jpg,4,6
03_09_2020_1\output_0030\0000499_z02_x07.jpg,2,7
03_09_2020_1\output_0041\0000591_z02_x07.jpg,2,7
03_09_2020_1\output_0036\0000174_z02_x07.jpg,2,7
03_13_2020_1\output_0005\0000868_z05_x06.jpg,5,6
03_10_2020_1\output_0007\0000838_z02_x06.jpg,2,6
03_09_2020_1\output_0024\0000268_z01_x07.jpg,1,7
03_12_2020_0\output_0004\0000784_z08_x07.jpg,8,7
03_12_2020_0\output_0002\0000557_z09_x06.jpg,9,6
03_09_2020_1\output_0043\0000625_z03_x07.jpg,3,7
03_09_2020_1\output_0022\0000524_z03_x06.jpg,3,6
03_10_2020_1\output_0005\0000921_z00_x06.jpg,0,6
03_16_2020_0\output_0002\0000279_z07_x06.jpg,7,6
03_13_2020_1\output_0006\0000316_z01_x06.jpg,1,6
03_13_2020_1\output_0013\0000759_z03_x06.jpg,3,6
03_13_2020_1\output_0006\0000539_z03_x07.jpg,3,7
JetBot\2021-10-08-20-32\0001564_z06_x07.jpg,6,7
03_10_2020_1\output_0011\0000825_z03_x06.jpg,3,6
03_10_2020_1\output_0003\0000451_z03_x06.jpg,3,6
03_16_2020_0\output_0006\0000419_z07_x07.jpg,7,7
03_06_2020_0\output_0010\0000927_z05_x07.jpg,5,7
03_09_2020_1\output_0024\0000496_z04_x07.jpg,4,7
03_09_2020_1\output_0022\0000407_z02_x07.jpg,2,7
03_06_2020_0\output_0004\0001072_z02_x07.jpg,2,7
03_10_2020_1\output_0011\0000992_z01_x06.jpg,1,6
03_09_2020_1\output_0038\0000343_z05_x07.jpg,5,7
03_06_2020_0\output_0011\0001504_z05_x10.jpg,5,10
03_09_2020_1\output_0037\0000049_z04_x06.jpg,4,6
03_09_2020_1\output_0032\0000363_z02_x07.jpg,2,7
03_13_2020_1\output_0005\0000216_z00_x07.jpg,0,7
03_10_2020_1\output_0015\0000677_z03_x06.jpg,3,6
03_10_2020_1\output_0008\0000948_z05_x06.jpg,5,6
03_12_2020_0\output_0011\0000604_z06_x06.jpg,6,6
03_09_2020_1\output_0022\0000653_z02_x06.jpg,2,6
03_06_2020_0\output_0002\0000963_z08_x07.jpg,8,7
03_13_2020_1\output_0000\0000479_z03_x06.jpg,3,6
03_06_2020_0\output_0004\0001076_z05_x07.jpg,5,7
03_06_2020_0\output_0008\0000775_z02_x06.jpg,2,6
03_12_2020_0\output_0001\0000429_z08_x07.jpg,8,7
03_16_2020_0\output_0005\0000446_z05_x07.jpg,5,7
03_12_2020_0\output_0013\0000357_z06_x06.jpg,6,6
03_06_2020_0\output_0011\0000024_z04_x07.jpg,4,7
03_10_2020_1\output_0014\0000269_z04_x06.jpg,4,6
03_09_2020_1\output_0039\0000205_z02_x06.jpg,2,6
03_09_2020_1\output_0037\0000192_z01_x07.jpg,1,7
03_06_2020_0\output_0002\0000700_z10_x06.jpg,10,6
03_10_2020_1\output_0015\0000546_z01_x06.jpg,1,6
03_06_2020_0\output_0003\0001302_z05_x07.jpg,5,7
03_13_2020_0\output_0000\0000449_z05_x07.jpg,5,7
03_06_2020_0\output_0005\0001136_z07_x07.jpg,7,7
03_12_2020_0\output_0005\0000577_z07_x07.jpg,7,7
03_10_2020_1\output_0009\0000709_z04_x06.jpg,4,6
03_13_2020_1\output_0007\0000816_z03_x06.jpg,3,6
03_16_2020_0\output_0003\0000750_z09_x07.jpg,9,7
03_06_2020_0\output_0003\0001287_z05_x07.jpg,5,7
03_09_2020_1\output_0030\0000032_z02_x06.jpg,2,6
03_06_2020_0\output_0007\0000147_z07_x06.jpg,7,6
03_13_2020_1\output_0008\0000617_z05_x07.jpg,5,7
03_09_2020_1\output_0037\0000759_z03_x06.jpg,3,6
03_16_2020_0\output_0003\0000581_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0000977_z02_x06.jpg,2,6
03_06_2020_0\output_0005\0000629_z05_x06.jpg,5,6
03_12_2020_0\output_0012\0000180_z07_x07.jpg,7,7
03_10_2020_1\output_0014\0000240_z05_x06.jpg,5,6
03_13_2020_1\output_0003\0000673_z01_x06.jpg,1,6
03_10_2020_1\output_0014\0000529_z02_x06.jpg,2,6
03_09_2020_1\output_0015\0000635_z04_x07.jpg,4,7
03_13_2020_0\output_0003\0000268_z06_x06.jpg,6,6
03_10_2020_1\output_0009\0000943_z02_x06.jpg,2,6
03_10_2020_1\output_0015\0000753_z01_x06.jpg,1,6
03_12_2020_0\output_0011\0000903_z07_x07.jpg,7,7
03_09_2020_1\output_0038\0000513_z01_x07.jpg,1,7
03_13_2020_0\output_0000\0000753_z07_x07.jpg,7,7
03_16_2020_0\output_0002\0000674_z07_x07.jpg,7,7
03_10_2020_1\output_0000\0000337_z03_x06.jpg,3,6
03_09_2020_1\output_0015\0000027_z05_x07.jpg,5,7
03_13_2020_1\output_0003\0000776_z01_x06.jpg,1,6
03_09_2020_1\output_0031\0000617_z05_x06.jpg,5,6
03_16_2020_0\output_0003\0000684_z07_x07.jpg,7,7
03_13_2020_1\output_0007\0000242_z01_x06.jpg,1,6
03_12_2020_0\output_0009\0001089_z09_x06.jpg,9,6
03_13_2020_1\output_0000\0000573_z02_x06.jpg,2,6
03_09_2020_1\output_0033\0000338_z04_x06.jpg,4,6
03_12_2020_0\output_0001\0000444_z07_x07.jpg,7,7
03_12_2020_0\output_0001\0000452_z08_x06.jpg,8,6
03_13_2020_1\output_0007\0000968_z02_x07.jpg,2,7
03_09_2020_1\output_0043\0000210_z02_x07.jpg,2,7
03_09_2020_1\output_0026\0000539_z01_x07.jpg,1,7
03_12_2020_0\output_0013\0000309_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0000726_z04_x07.jpg,4,7
03_12_2020_0\output_0007\0000670_z07_x07.jpg,7,7
03_13_2020_0\output_0002\0000780_z06_x07.jpg,6,7
03_06_2020_0\output_0010\0000387_z07_x07.jpg,7,7
03_09_2020_1\output_0035\0000484_z05_x07.jpg,5,7
03_13_2020_0\output_0001\0000297_z06_x07.jpg,6,7
03_09_2020_1\output_0024\0000151_z02_x06.jpg,2,6
03_09_2020_1\output_0043\0000293_z01_x07.jpg,1,7
03_10_2020_1\output_0013\0000823_z02_x06.jpg,2,6
03_12_2020_0\output_0006\0000549_z05_x06.jpg,5,6
03_09_2020_1\output_0042\0000468_z02_x06.jpg,2,6
03_06_2020_0\output_0010\0000473_z05_x07.jpg,5,7
03_09_2020_1\output_0016\0000588_z03_x06.jpg,3,6
03_13_2020_0\output_0002\0000290_z08_x07.jpg,8,7
03_09_2020_1\output_0035\0000107_z02_x07.jpg,2,7
03_13_2020_1\output_0007\0000118_z04_x07.jpg,4,7
03_12_2020_0\output_0013\0001077_z07_x06.jpg,7,6
03_06_2020_0\output_0008\0001379_z03_x07.jpg,3,7
03_09_2020_1\output_0041\0000400_z03_x07.jpg,3,7
03_12_2020_0\output_0010\0000465_z07_x07.jpg,7,7
03_10_2020_1\output_0013\0000615_z02_x06.jpg,2,6
03_13_2020_0\output_0002\0000095_z05_x06.jpg,5,6
03_12_2020_0\output_0011\0000585_z08_x06.jpg,8,6
